rainfall_mm_hr,soil_moisture_pct,tilt_deg,vegetation_change_pct,satellite_risk_index,landslide_next_6h
52.21,41.98,2.11,5.02,0.551,0
119.09,78.76,7.44,10.09,1.0,1
107.0,81.43,0.92,6.83,0.896,1
89.83,71.1,4.51,0.94,0.84,1
106.9,68.49,5.77,19.37,1.0,1
107.21,85.47,0.47,24.5,0.86,1
62.26,65.38,4.78,22.68,0.627,1
37.91,44.27,6.53,13.58,0.82,0
92.64,78.24,0.54,19.43,0.703,1
79.4,64.0,4.1,3.29,0.867,1
44.84,38.44,2.07,5.4,0.145,0
11.34,38.48,5.3,32.61,0.55,0
89.61,66.65,0.95,26.65,0.884,1
31.5,39.19,7.5,32.3,0.592,1
112.42,93.26,7.16,32.08,1.0,1
28.92,8.6,1.49,22.73,0.3,0
14.73,14.62,2.59,32.49,0.149,0
99.73,55.64,4.7,14.58,0.938,1
18.39,28.92,5.74,0.13,0.321,0
21.51,31.63,3.54,2.19,0.282,0
71.93,39.28,1.25,3.83,0.676,0
104.95,60.4,0.83,3.34,0.876,1
23.57,25.28,8.0,12.31,0.437,0
37.24,71.25,3.64,24.54,0.481,0
93.29,88.6,6.98,27.67,0.964,1
116.62,72.54,3.86,20.66,1.0,1
60.09,47.68,7.38,5.13,0.635,1
17.27,18.98,0.7,26.18,0.22,0
1.67,2.85,0.91,12.42,0.144,0
27.56,36.0,7.44,0.45,0.545,0
15.82,20.14,7.58,9.82,0.571,0
81.32,60.58,2.52,11.57,0.673,1
14.62,12.38,2.84,9.6,0.202,0
60.76,43.2,3.62,28.42,0.475,0
83.31,64.27,3.33,26.6,0.886,1
69.73,60.77,1.52,24.34,0.52,0
23.97,40.8,7.19,4.87,0.585,1
96.49,52.58,2.03,28.27,0.73,1
85.85,73.89,5.64,23.7,0.775,1
88.68,55.3,0.54,6.82,0.576,0
15.73,39.67,0.31,22.68,0.389,0
14.85,31.56,5.23,16.92,0.413,0
111.31,58.57,2.71,15.38,0.739,1
47.71,42.67,5.24,3.92,0.627,1
36.11,45.64,0.75,18.14,0.345,0
58.63,58.74,7.6,3.5,1.0,1
79.54,59.1,5.99,5.75,0.868,0
114.67,94.99,7.01,4.64,1.0,1
34.37,52.56,1.09,33.39,0.561,0
110.98,71.86,2.56,9.97,0.676,1
2.98,35.34,2.95,12.43,0.262,0
66.62,78.19,4.3,11.27,1.0,0
76.08,82.76,2.37,31.44,0.737,1
12.71,15.98,0.49,19.7,0.0,0
16.84,21.46,2.95,32.17,0.226,0
50.29,65.45,2.04,10.5,0.726,1
115.95,64.48,3.09,4.02,0.963,1
71.53,41.32,1.58,19.47,0.458,0
111.96,69.55,2.1,12.09,0.793,1
96.52,73.48,5.02,28.07,0.861,1
56.09,49.01,3.11,30.78,0.611,1
94.17,59.57,2.76,16.54,0.941,1
2.14,17.87,4.27,34.0,0.367,0
13.1,22.35,6.17,19.36,0.442,1
99.53,59.24,3.03,9.48,0.657,1
95.62,95.41,4.7,17.11,0.825,0
27.92,41.13,7.73,1.31,0.65,0
63.69,64.3,4.18,28.14,0.538,1
72.72,51.86,7.28,3.55,0.801,1
104.13,69.63,6.35,10.81,1.0,1
72.37,49.01,0.47,19.79,0.407,0
49.51,15.46,3.43,1.5,0.313,0
44.9,28.67,5.59,2.78,0.532,0
51.11,26.27,7.89,24.36,0.719,1
78.23,33.21,3.67,2.51,0.776,1
104.1,57.5,0.74,16.7,0.815,0
54.47,65.41,4.5,11.85,0.679,0
29.74,37.85,1.01,7.98,0.226,0
28.4,53.27,6.01,6.61,0.432,0
89.52,70.22,4.06,26.72,0.783,0
97.99,78.49,5.79,33.3,1.0,1
12.63,19.87,6.95,4.91,0.448,0
7.99,34.88,5.03,33.59,0.105,0
71.33,65.84,4.9,20.82,0.678,1
17.54,25.97,6.04,22.46,0.56,0
98.96,76.25,6.74,24.85,1.0,1
37.24,48.55,6.95,24.64,0.456,0
17.26,26.17,0.29,28.69,0.468,0
110.52,61.26,4.45,16.92,0.931,1
19.86,19.73,1.73,18.67,0.28,1
34.17,41.41,6.88,11.33,0.632,0
18.43,37.22,5.19,3.68,0.38,0
13.86,21.73,3.36,23.26,0.189,0
2.54,26.46,1.5,1.18,0.416,0
6.65,34.84,2.71,9.65,0.378,0
20.96,41.85,5.63,3.3,0.568,0
6.41,46.51,1.63,6.68,0.322,0
70.94,72.25,0.75,22.36,0.505,1
81.69,49.74,7.1,22.0,1.0,1
47.24,66.46,6.11,14.74,0.601,1
38.16,35.8,1.6,3.16,0.408,0
60.54,64.78,2.34,15.17,0.415,0
105.0,73.07,7.78,12.35,0.835,1
102.14,66.02,5.67,25.22,0.996,1
5.22,5.66,4.88,20.27,0.143,0
21.78,32.74,2.46,17.2,0.078,0
28.41,19.07,2.39,17.04,0.366,0
29.93,50.07,0.32,33.82,0.584,0
68.55,74.05,5.83,26.47,0.989,1
49.95,37.92,0.35,17.39,0.359,0
5.91,31.28,0.04,16.77,0.136,0
44.83,36.47,5.84,0.93,0.686,0
62.85,45.74,7.59,32.99,0.905,1
12.2,39.78,6.05,11.17,0.394,0
100.02,69.54,3.77,8.96,0.887,1
6.24,48.68,3.89,34.98,0.385,0
110.98,69.15,3.49,25.15,0.991,1
11.89,42.34,2.6,1.66,0.289,0
101.23,71.72,4.17,2.17,0.898,1
108.32,83.29,3.45,0.89,1.0,1
117.55,72.53,4.79,20.99,1.0,1
96.24,67.71,7.18,2.5,1.0,1
93.54,65.71,7.96,32.67,1.0,1
77.1,49.66,0.63,32.79,0.53,0
93.48,75.01,3.08,19.11,1.0,1
16.15,40.07,1.45,21.58,0.337,0
64.33,61.07,2.82,10.22,1.0,1
61.71,71.21,2.3,2.24,0.495,0
102.91,88.7,1.4,25.81,0.783,1
55.54,45.49,6.11,3.56,0.724,0
46.21,50.27,3.97,2.99,0.605,1
76.75,52.05,7.35,10.89,1.0,1
31.98,39.67,0.26,0.44,0.222,0
16.77,25.35,0.54,15.19,0.298,0
57.35,70.25,3.23,24.77,0.789,0
50.03,51.88,0.64,28.05,0.533,0
27.91,34.94,2.1,21.15,0.225,0
44.1,59.17,7.89,29.64,0.902,0
43.97,18.74,1.67,14.23,0.497,1
39.3,18.52,1.58,29.71,0.394,0
45.54,55.04,4.59,17.73,0.619,0
82.29,62.76,3.98,7.81,0.807,1
35.63,44.04,4.64,33.05,0.501,1
113.86,60.32,3.01,9.62,0.968,1
109.96,74.2,6.61,0.92,1.0,1
57.71,75.01,1.11,8.49,0.481,0
39.4,52.62,3.43,12.83,0.384,1
64.25,55.95,5.52,12.3,0.638,0
101.83,65.55,6.95,18.36,1.0,1
78.31,55.5,2.96,30.91,0.692,1
96.53,42.89,4.54,10.23,0.833,1
63.93,56.86,0.55,18.23,0.591,1
75.95,69.32,1.36,11.9,0.59,1
34.58,21.65,0.55,28.76,0.443,0
88.19,56.75,5.82,5.52,0.831,0
24.29,22.04,2.3,3.62,0.235,0
83.38,50.93,5.79,17.6,0.876,1
103.29,72.12,0.53,23.52,0.558,1
15.85,7.12,6.9,27.84,0.284,0
73.73,65.55,6.68,20.64,0.972,1
11.41,39.18,0.71,27.08,0.008,0
87.09,61.18,0.19,13.74,0.781,1
10.14,0.0,0.45,1.15,0.25,0
112.31,63.58,6.83,4.06,1.0,1
16.49,47.21,1.88,1.36,0.35,0
115.07,43.44,4.39,11.51,1.0,1
96.11,64.08,3.41,17.34,0.775,1
71.24,42.9,6.36,12.47,0.858,1
93.91,76.92,3.91,19.62,0.802,1
95.41,59.83,4.01,16.82,0.779,1
113.52,80.93,7.91,23.73,1.0,1
30.41,45.47,1.2,23.34,0.393,0
70.81,78.9,6.65,11.13,1.0,0
11.41,27.7,0.41,12.12,0.144,0
73.94,62.79,3.82,20.48,0.579,1
20.55,16.43,7.09,20.88,0.311,1
67.79,69.79,5.32,11.01,0.832,1
68.69,46.79,5.48,11.56,0.94,1
55.92,43.43,2.11,24.29,0.556,0
62.72,52.96,3.35,22.66,0.578,0
91.67,47.5,2.93,4.73,0.826,1
95.91,70.9,4.17,15.44,0.854,1
59.06,63.19,3.7,31.24,0.608,1
71.95,60.89,2.62,1.27,0.552,0
111.75,56.22,2.44,29.93,1.0,1
14.37,29.98,2.01,5.71,0.0,0
14.05,40.23,2.92,17.75,0.417,0
10.53,7.2,1.2,14.85,0.069,0
78.94,47.63,6.98,0.35,0.783,1
50.23,58.12,4.82,32.04,0.841,1
92.92,70.05,1.07,15.92,0.655,1
80.55,66.19,5.55,33.4,0.764,1
40.04,65.33,6.78,10.04,0.674,0
107.8,79.13,1.9,30.32,0.928,1
91.5,74.07,1.2,32.28,0.7,1
32.46,72.14,0.07,19.49,0.217,0
43.7,42.1,0.38,7.09,0.27,0
37.73,32.41,6.1,23.98,0.694,1
18.91,38.64,7.9,19.21,0.548,0
17.73,38.25,0.36,33.06,0.285,0
112.34,69.23,5.98,15.37,1.0,1
52.55,36.26,0.57,9.4,0.327,0
46.0,73.42,4.74,4.84,0.866,1
87.56,68.33,6.05,24.45,0.885,1
66.36,46.07,2.87,34.09,0.547,0
112.34,86.54,0.09,0.99,0.985,1
93.64,65.83,4.76,25.92,0.791,1
57.52,47.85,7.93,32.44,0.693,0
45.16,52.07,2.06,2.62,0.483,0
118.4,62.78,1.52,3.86,0.862,0
86.13,67.99,0.99,24.22,0.728,0
114.14,99.32,4.44,22.68,1.0,1
14.22,36.99,4.77,2.41,0.426,0
102.06,66.41,6.34,29.2,0.7,1
76.45,53.32,6.02,18.32,0.84,1
14.63,26.66,7.14,31.75,0.452,0
70.59,53.72,6.45,30.73,0.795,1
82.33,57.52,1.98,28.44,0.712,0
1.48,36.66,4.45,18.06,0.304,0
54.52,28.73,2.38,8.81,0.457,0
99.05,79.92,2.64,17.71,0.941,1
35.44,36.39,7.46,3.53,0.532,1
55.03,54.28,5.46,23.06,0.561,1
53.08,35.36,7.8,4.69,1.0,1
36.23,57.25,3.34,17.89,0.419,1
110.21,89.54,4.3,1.9,1.0,1
93.76,78.7,3.9,10.48,0.708,1
13.27,12.79,0.86,8.12,0.157,0
119.64,88.79,1.89,21.7,0.858,1
105.5,77.34,4.22,27.54,0.901,1
34.07,21.07,0.54,2.01,0.388,0
100.43,69.9,7.45,29.76,1.0,1
12.77,35.12,0.99,30.13,0.289,0
119.89,85.62,1.58,11.98,0.736,1
79.88,63.07,6.12,23.07,1.0,1
78.02,63.6,0.78,14.09,0.49,1
10.85,47.57,7.2,5.4,0.684,0
107.64,88.15,5.81,18.5,1.0,1
3.48,0.0,0.55,3.02,0.109,0
28.9,34.2,5.53,30.75,0.377,0
17.16,30.75,5.05,32.35,0.409,0
93.21,45.92,6.06,28.76,0.805,1
23.78,36.83,6.63,19.69,0.51,0
109.28,89.16,5.75,19.52,1.0,1
78.75,47.4,4.69,34.46,0.495,1
4.34,30.99,2.58,8.68,0.363,0
0.65,14.3,5.58,2.66,0.264,0
6.2,19.73,7.66,19.67,0.345,0
72.71,75.45,4.7,11.51,0.736,1
96.18,61.77,5.31,11.28,0.942,1
28.63,43.43,3.5,0.25,0.321,0
101.93,48.41,6.05,20.87,0.642,1
6.87,50.44,7.98,9.24,0.571,0
96.12,75.48,1.28,6.58,0.846,1
111.34,72.91,1.62,1.42,0.841,1
92.65,73.6,4.32,12.75,0.743,0
83.77,45.78,3.85,30.76,0.736,1
100.56,84.44,4.57,11.78,0.791,1
4.82,23.28,0.39,23.77,0.0,0
24.21,33.45,3.23,26.48,0.272,0
14.99,25.85,4.66,11.48,0.449,0
60.54,45.28,4.68,28.76,0.597,0
89.42,73.58,5.26,24.22,0.849,0
75.6,62.09,5.76,19.57,1.0,1
102.14,78.78,5.13,0.03,1.0,1
18.63,33.28,6.32,1.23,0.498,0
88.15,70.83,5.0,34.68,0.832,1
23.16,30.4,4.3,27.38,0.318,0
32.49,66.38,4.85,32.81,0.315,1
85.19,44.52,0.81,31.58,0.723,0
117.62,93.06,2.19,0.72,1.0,1
73.39,74.44,4.22,27.71,0.762,1
6.54,17.72,6.98,15.79,0.355,0
73.96,85.03,5.43,27.63,0.959,1
5.08,39.23,0.72,0.24,0.0,0
106.1,84.4,4.74,10.09,0.931,1
85.15,63.65,1.77,26.3,0.573,1
20.78,31.74,5.87,27.76,0.657,1
11.01,27.44,6.62,21.69,0.516,0
22.02,39.6,4.75,10.54,0.168,1
117.6,94.74,4.73,10.86,0.911,1
55.03,51.94,2.71,33.84,0.541,0
94.09,56.4,3.57,15.37,0.745,1
76.37,69.26,6.91,15.65,0.73,1
68.69,66.96,5.79,19.33,1.0,1
17.42,40.69,4.16,14.33,0.427,0
113.52,85.03,2.95,19.34,1.0,1
36.16,38.02,0.4,15.13,0.241,0
69.36,45.07,1.14,28.94,0.629,0
83.97,52.37,1.54,31.82,0.611,1
77.91,40.43,2.99,32.62,0.61,1
112.87,78.64,7.55,19.75,1.0,1
17.81,32.01,4.04,15.48,0.162,0
61.0,47.17,1.88,24.68,0.729,0
48.48,11.35,0.85,29.34,0.336,0
56.9,35.64,2.71,19.7,0.665,0
14.31,44.89,6.53,24.5,0.353,0
16.09,24.27,3.07,26.24,0.173,0
33.37,44.34,6.18,23.67,0.422,1
36.56,24.77,6.42,26.11,0.552,0
51.35,65.37,0.89,7.3,0.518,0
73.32,56.26,4.87,17.44,0.693,1
76.16,62.75,7.67,20.59,0.775,1
49.42,75.15,3.22,0.09,0.474,0
49.05,65.27,0.41,29.96,0.473,0
26.12,33.07,7.39,21.35,0.48,0
70.6,49.65,7.07,4.52,0.719,1
38.04,38.21,4.18,28.57,0.67,0
4.33,33.07,4.42,25.1,0.299,0
50.21,46.33,1.69,26.54,0.626,0
56.9,45.86,6.56,13.72,0.636,1
27.07,54.79,3.99,29.9,0.507,1
68.69,54.54,0.27,14.49,0.529,1
67.89,83.15,5.46,19.97,0.631,1
84.24,64.0,7.6,0.02,1.0,1
77.75,81.41,6.63,22.57,0.909,1
78.29,64.52,2.22,25.14,0.785,1
37.95,53.63,0.43,19.85,0.295,0
94.49,58.83,7.52,17.38,0.95,1
65.9,44.41,7.5,28.35,0.673,1
51.77,53.81,4.26,23.85,0.757,0
75.12,70.67,5.14,9.73,0.854,1
43.28,44.96,3.7,33.57,0.558,0
61.53,37.25,3.36,24.75,0.729,1
88.4,48.46,0.96,34.58,0.781,1
106.37,55.74,0.77,33.99,0.84,1
110.53,53.53,1.86,32.16,0.635,1
60.44,53.51,6.69,26.44,0.665,1
62.43,66.6,1.17,21.33,0.46,0
95.98,68.03,1.81,6.03,0.867,0
37.73,14.86,4.39,19.02,0.434,0
100.49,67.93,1.72,26.79,0.631,1
59.3,49.73,1.31,18.23,0.492,0
13.9,56.41,4.51,30.39,0.259,0
8.65,11.41,2.94,3.84,0.193,0
101.04,65.78,5.01,13.33,0.726,1
6.67,48.47,7.3,17.71,0.55,0
33.67,45.55,1.21,15.13,0.414,0
40.1,49.8,7.31,3.8,0.888,0
20.76,35.72,7.22,5.37,0.613,0
37.67,45.91,6.63,29.32,0.556,0
89.12,74.44,5.05,16.95,0.994,1
1.76,16.08,4.96,1.71,0.093,0
99.26,80.2,5.11,0.58,0.853,1
102.79,54.78,5.52,16.57,0.957,1
44.67,49.04,0.13,5.75,0.133,0
18.43,35.44,7.66,24.68,0.512,0
72.1,50.05,4.68,27.84,0.592,0
14.36,31.19,6.25,7.99,0.438,0
43.79,37.24,3.02,20.73,0.334,0
115.01,63.89,0.1,5.41,0.843,1
119.46,74.51,4.08,10.63,1.0,1
92.65,53.45,4.06,31.11,0.972,1
37.32,45.67,3.5,19.04,0.479,0
82.52,48.33,2.72,31.01,0.59,1
84.65,71.64,2.0,7.88,0.712,1
46.54,31.77,4.22,11.55,0.346,1
76.91,52.81,3.0,16.48,0.729,1
1.29,18.08,7.76,16.8,0.448,0
25.09,52.19,1.38,34.92,0.651,1
63.01,57.32,2.56,4.01,0.534,1
19.65,31.3,2.35,29.82,0.265,0
19.91,39.94,4.35,30.23,0.337,0
100.36,44.87,3.99,19.36,0.837,1
118.7,77.9,5.15,12.04,1.0,1
66.72,78.99,7.6,18.17,0.894,1
100.69,71.9,2.28,10.24,0.965,1
118.84,79.29,5.54,27.97,1.0,1
16.99,39.22,0.2,17.44,0.342,0
53.79,59.95,2.1,32.4,0.617,1
47.11,22.23,3.71,21.79,0.457,0
9.61,9.13,0.25,18.0,0.051,0
90.64,68.31,4.94,24.89,1.0,1
52.05,39.85,5.43,17.64,0.512,0
56.32,66.09,5.97,31.66,0.777,0
18.08,29.35,4.13,6.46,0.264,0
21.71,11.56,4.83,34.07,0.555,0
108.85,58.77,3.17,28.43,0.973,1
5.36,0.0,0.33,30.13,0.0,0
27.94,34.76,0.8,16.9,0.349,0
35.05,38.51,5.24,29.3,0.544,0
58.82,46.38,7.96,10.74,0.705,1
70.37,69.61,0.13,26.67,0.68,1
59.19,66.02,4.46,4.92,0.741,1
10.09,27.5,6.01,10.75,0.408,0
29.24,12.54,6.61,15.6,0.448,1
101.23,77.96,4.36,11.28,0.992,1
76.51,66.09,4.96,13.55,0.829,1
77.9,63.77,5.57,28.7,0.832,1
80.42,72.97,6.87,8.98,0.843,1
91.55,52.22,0.98,26.08,0.874,1
6.97,52.24,7.41,2.58,0.379,0
43.99,33.28,0.21,26.8,0.391,0
64.74,63.13,6.69,27.72,0.763,1
40.61,23.03,0.61,14.06,0.516,0
101.34,59.44,1.56,25.29,0.659,1
57.91,69.26,0.03,32.03,0.433,0
92.24,63.38,3.56,28.02,0.699,1
102.24,81.09,2.67,13.67,0.927,1
60.57,55.1,1.33,16.95,0.375,0
109.15,72.86,3.61,27.28,0.876,1
70.45,73.07,3.22,10.24,0.466,1
102.03,68.07,6.14,28.14,1.0,1
40.87,22.02,7.15,11.48,0.504,0
59.86,42.3,5.22,28.21,0.471,0
63.77,60.31,1.0,3.04,0.69,1
12.6,35.42,2.36,1.55,0.119,0
47.83,27.72,7.31,34.92,0.719,1
110.08,65.84,0.71,30.43,0.714,1
75.7,52.08,3.25,30.9,0.874,1
21.3,30.2,7.54,33.29,0.599,1
40.66,26.79,7.61,15.34,0.476,0
22.99,27.81,3.29,10.04,0.229,0
2.98,17.6,5.34,4.55,0.36,0
111.3,84.34,3.65,17.54,0.952,1
53.78,58.91,6.03,7.7,0.686,1
36.9,39.86,0.25,32.74,0.48,0
71.82,52.61,1.15,0.14,0.491,0
0.88,27.07,4.91,5.01,0.302,0
33.36,30.21,1.86,8.63,0.456,0
84.36,49.2,5.33,6.96,0.896,1
76.05,47.94,2.81,7.9,0.633,1
117.82,70.4,7.09,22.96,1.0,1
74.44,44.54,6.55,11.46,0.574,1
57.3,52.73,3.94,21.53,0.493,1
91.37,74.87,6.18,31.16,0.992,1
108.4,54.73,2.17,21.09,0.795,1
86.48,64.22,3.95,24.31,0.814,1
115.59,74.37,1.58,12.79,1.0,1
93.84,71.33,6.89,5.59,0.84,1
104.02,71.65,6.58,11.22,0.994,1
13.69,13.72,7.22,33.75,0.426,0
87.89,49.4,7.02,21.76,0.8,1
52.81,49.12,7.68,9.71,0.907,0
66.37,67.21,1.83,15.78,0.738,1
78.49,33.75,7.45,29.24,0.838,1
116.38,81.52,4.57,23.4,1.0,1
118.15,92.44,3.38,19.62,0.854,1
34.59,38.73,4.48,30.98,0.48,0
88.05,71.23,2.74,23.54,0.831,0
90.0,57.06,2.31,22.5,0.623,0
41.58,42.28,1.93,6.64,0.462,0
14.86,12.24,0.66,3.72,0.009,0
4.91,0.0,3.97,33.78,0.266,0
93.28,78.29,7.1,20.96,1.0,1
58.76,39.62,5.04,14.55,0.66,0
118.26,72.75,4.17,20.62,0.778,1
55.8,33.47,3.43,2.16,0.412,0
117.35,60.89,3.72,28.77,1.0,1
49.39,45.14,1.67,7.58,0.467,0
95.24,59.1,6.58,28.16,0.613,1
10.18,34.12,1.59,18.7,0.377,0
66.66,60.43,5.73,9.68,0.78,0
96.25,72.16,6.08,1.06,0.867,1
110.96,77.8,4.6,28.55,1.0,1
